id,listing_url,name,neighbourhood_cleansed,zipcode,country,latitude,longitude,room_type,accommodates,price,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
3781,https://www.airbnb.com/rooms/3781,HARBORSIDE-Walk to subway,East Boston,2128,United States,42.36524120736776,-71.02936148859783,Entire home/apt,2,$125.00,99,10,10,10,10,10,10
5506,https://www.airbnb.com/rooms/5506,**$79 Special **   Private! Minutes to center!,Roxbury,2119,United States,42.32980850423623,-71.09559469348262,Entire home/apt,2,$145.00,95,10,10,10,10,9,10
6695,https://www.airbnb.com/rooms/6695,$99 Special!! Home Away! Condo,Roxbury,2119,United States,42.329940605699676,-71.093505106791,Entire home/apt,4,$169.00,97,10,10,10,10,9,9
6976,https://www.airbnb.com/rooms/6976,Mexican Folk Art Haven in Boston Residential Area,Roslindale,2131,United States,42.2924378866568,-71.13576525374667,Private room,2,$65.00,98,10,10,10,10,9,10
8789,https://www.airbnb.com/rooms/8789,Curved Glass Studio/1bd facing Park,Downtown,2108,United States,42.35918691518732,-71.06265110707376,Entire home/apt,2,$99.00,92,9,9,10,10,10,9
8792,https://www.airbnb.com/rooms/8792,Large 1 Bed facing State House,Downtown,2108,United States,42.35849698264322,-71.06201144020237,Entire home/apt,2,$154.00,93,10,9,10,10,10,9
9765,https://www.airbnb.com/rooms/9765,[1294] Grand Studio - South End,South End,2118,United States,42.34259444459376,-71.07942070179357,Entire home/apt,2,$229.00,89,10,10,10,9,10,8
9824,https://www.airbnb.com/rooms/9824,[1273] Fab Studio- close to Newbury,Back Bay,2115,United States,42.34949627476548,-71.08595384961086,Entire home/apt,2,$209.00,79,8,9,10,9,10,8
9827,https://www.airbnb.com/rooms/9827,[1168-1C] Luxury 1 BR High-Rise in Beacon Hill,Downtown,2111,United States,42.352148584714804,-71.06330132541606,Entire home/apt,2,$389.00,96,10,10,9,9,9,9
9855,https://www.airbnb.com/rooms/9855,[1330-1D] Lux 1BR  w/ Den - Fenway,Fenway,2215,United States,42.34337078514998,-71.09870840549256,Entire home/apt,3,$259.00,90,,,,,,
9857,https://www.airbnb.com/rooms/9857,"[1280] Well-Appointed,  2 BR Suite in Back Bay",Back Bay,2116,United States,42.35428957525216,-71.0727722486024,Entire home/apt,4,$342.00,88,9,10,10,10,10,9
9858,https://www.airbnb.com/rooms/9858,[1356-2] 2BR Exec Penthouse Suite,Back Bay,2116,United States,42.344471434571375,-71.08178606219539,Entire home/apt,6,$489.00,,,,,,,
9859,https://www.airbnb.com/rooms/9859,[1274] 1BR Half Block from Newbury,Back Bay,2115,United States,42.35025967200265,-71.08471827768018,Entire home/apt,2,$179.00,87,10,10,10,10,10,10
9860,https://www.airbnb.com/rooms/9860,[1277] 1BR on Beacon St - Back Bay,Back Bay,2116,United States,42.35411529429635,-71.07441444576361,Entire home/apt,2,$259.00,85,8,9,10,9,10,9
9870,https://www.airbnb.com/rooms/9870,[1293-1] - 1 Bedroom in South End,South End,2116,United States,42.34422661526431,-71.07787818266341,Entire home/apt,2,$279.00,80,9,8,10,9,10,8
10730,https://www.airbnb.com/rooms/10730,Bright 1bed facing Golden Dome,Downtown,2108,United States,42.35840348816456,-71.06185033441072,Entire home/apt,2,$150.00,95,9,9,10,10,10,9
10811,https://www.airbnb.com/rooms/10811,Back Bay Studio on Marlborough St-,Back Bay,2115,United States,42.34972969320107,-71.0879236417328,Entire home/apt,3,$179.00,86,9,9,9,7,10,9
10813,https://www.airbnb.com/rooms/10813,Back Bay Apt Studio-,Back Bay,2115,United States,42.34961258120306,-71.08903821762654,Entire home/apt,3,$179.00,,,,,,,
10986,https://www.airbnb.com/rooms/10986,Waterfront Furnished Apt,North End,2109,United States,42.36351987255669,-71.05075391788681,Entire home/apt,2,$115.00,,,,,,,
13589,https://www.airbnb.com/rooms/13589,"[1426-1] Renovated 3 BR, Bi-Level-Back Bay",Back Bay,2116,United States,42.35526319928581,-71.07279310137645,Entire home/apt,6,$389.00,87,9,9,10,10,10,9
13592,https://www.airbnb.com/rooms/13592,"[1279] 2 BR/1.5 BA, Bi-Level Suite",Back Bay,2116,United States,42.35376288379316,-71.07423910713261,Entire home/apt,4,$359.00,78,8,9,10,9,10,8
18711,https://www.airbnb.com/rooms/18711,The Dorset | 3BR 1BA | 1st Floor,Dorchester,2125,United States,42.323285711989264,-71.06210286717582,Entire home/apt,7,$126.00,84,9,9,9,9,9,9
21891,https://www.airbnb.com/rooms/21891,[1168-2NH]Lux 2BR - Downtown Boston,Downtown,2111,United States,42.352179362768965,-71.06316023638313,Entire home/apt,4,$289.00,94,9,9,9,9,10,9
22208,https://www.airbnb.com/rooms/22208,[1358] Small Studio in South End,South End,2118,United States,42.34320988189416,-71.07776036316244,Entire home/apt,2,$225.00,90,10,9,10,10,9,9
22354,https://www.airbnb.com/rooms/22354,COPLEY SQ...19TH C.TWNHSE SUNNY RM,South End,2116,United States,42.34495654198742,-71.07485746185634,Private room,1,$148.00,89,9,9,9,9,10,9
23370,https://www.airbnb.com/rooms/23370,[1250-1NE]Elegant 1BR in Back Bay,Back Bay,2116,United States,42.34609116036233,-71.078577968358,Entire home/apt,2,$289.00,87,9,9,7,7,9,9
23668,https://www.airbnb.com/rooms/23668,[1247-1N]Furnished 1BR At The Vesta,West End,2114,United States,42.36386502353799,-71.06895043843967,Entire home/apt,2,$249.00,,,,,,,
24240,https://www.airbnb.com/rooms/24240,The Golden Slipper,North End,2109,United States,42.36366047776044,-71.05023194381583,Entire home/apt,5,$275.00,96,10,10,10,10,10,9
25142,https://www.airbnb.com/rooms/25142,[1246]Beautiful 2BRs - Fenway Area,Fenway,2215,United States,42.3448650479359,-71.10259974303017,Entire home/apt,4,$399.00,88,9,10,9,9,9,9
25418,https://www.airbnb.com/rooms/25418,[1535-1C] Luxury 1BR - West End High Rise,West End,2114,United States,42.3649449797097,-71.06766819894484,Entire home/apt,2,$279.00,95,8,9,8,8,8,8
27141,https://www.airbnb.com/rooms/27141,[1293] Lovely 1 BR in South End,South End,2118,United States,42.34258590158319,-71.07969075832185,Entire home/apt,2,$279.00,70,8,8,8,10,9,8
27546,https://www.airbnb.com/rooms/27546,L'Auberge Espagnole  /room H,Dorchester,2122,United States,42.29834949192866,-71.05910373438712,Private room,4,$55.00,88,9,9,9,9,8,9
27611,https://www.airbnb.com/rooms/27611,One Bedroom Studio Garden Apartment,Jamaica Plain,2130,United States,42.315565116572934,-71.11482700886869,Entire home/apt,2,$175.00,91,9,10,10,10,10,9
28150,https://www.airbnb.com/rooms/28150,[1277/1] 1BR on Beacon St- Back Bay,Back Bay,2116,United States,42.35397478093875,-71.07261173686383,Entire home/apt,2,$184.00,81,8,8,9,9,10,8
29155,https://www.airbnb.com/rooms/29155,[1426-2]NEW 3 BR-Bi-Level  Back Bay,Back Bay,2116,United States,42.354327797179906,-71.073521139528,Entire home/apt,6,$451.00,88,8,9,10,9,10,9
29765,https://www.airbnb.com/rooms/29765,"Luxury suite, Moroccan furnishings",Charlestown,2129,United States,42.37833821738547,-71.06662682158364,Entire home/apt,2,$221.00,99,10,10,10,10,10,10
30311,https://www.airbnb.com/rooms/30311,[1543-1D]1BR with Den in Prime Beacon Hill Locale,Beacon Hill,2114,United States,42.36115825039167,-71.06518711164692,Entire home/apt,3,$161.00,,,,,,,
31796,https://www.airbnb.com/rooms/31796,Big room with two bed/Room A,Dorchester,2122,United States,42.299773412938755,-71.0604758082839,Private room,4,$43.00,88,10,9,10,10,9,9
36885,https://www.airbnb.com/rooms/36885,A Cozy Corner of Boston,Fenway,2215,United States,42.3463347597641,-71.08832312205183,Entire home/apt,2,$165.00,97,10,10,10,10,10,9
38578,https://www.airbnb.com/rooms/38578,[1218-1C]1BR - The Towers at Longfellow Place,West End,2114,United States,42.36408963095722,-71.06565400720207,Entire home/apt,3,$249.00,90,9,10,9,10,10,9
38579,https://www.airbnb.com/rooms/38579,[1218-2NH]2BR Apartment in Boston,Downtown,2114,United States,42.36417484490023,-71.06320412284416,Entire home/apt,4,$349.00,92,8,9,10,9,9,9
39116,https://www.airbnb.com/rooms/39116,Private Room/Perfect Location!,Fenway,2215,United States,42.34238757407687,-71.09725113569735,Private room,2,$99.00,98,10,10,10,10,10,10
40601,https://www.airbnb.com/rooms/40601,Private room & bath - Jamaica Plain,Jamaica Plain,2130,United States,42.31509938985096,-71.11107897137123,Private room,2,$95.00,99,10,10,10,10,10,10
44205,https://www.airbnb.com/rooms/44205,Elegance at Salem Street Court,Charlestown,2129,United States,42.376551110585275,-71.06676905680453,Entire home/apt,2,$184.00,99,10,10,10,10,10,10
