id,listing_url,name,neighbourhood_cleansed,zipcode,country,latitude,longitude,room_type,accommodates,price,review_scores_rating
12709469,https://www.airbnb.com/rooms/12709469,near BC shuttle house summer sublet,Brighton,2135,United States,42.34054213,-71.14671038,Private room,1,$32.00,20
18502823,https://www.airbnb.com/rooms/18502823,High-End 2-BR Furnished Apartment *Fenway*,Fenway,2215,United States,42.344637,-71.10063727,Entire home/apt,5,$299.00,20
21106680,https://www.airbnb.com/rooms/21106680,Beautifully Furnished 1-BR in Boston near Aquarium,Downtown,2114,United States,42.36619542,-71.05946078,Entire home/apt,3,$249.00,20
23027286,https://www.airbnb.com/rooms/23027286,BOSTON Private Room/ #2 Modern/Cozy bedroom,Mattapan,2126,United States,42.27150932,-71.10175954,Private room,1,$39.00,20
24464925,https://www.airbnb.com/rooms/24464925,"Lux 2BR 2BA Apt w/rooftop deck, gym, WiFi",Mission Hill,2115,United States,42.33067307,-71.11247109,Entire home/apt,5,$199.00,20
28544711,https://www.airbnb.com/rooms/28544711,Seaport Luxe Condo 1BD 2,South Boston Waterfront,2210,United States,42.35182403,-71.04392413,Entire home/apt,3,$359.00,20
28866017,https://www.airbnb.com/rooms/28866017,WELCOME TO THE JUNGLE,Brighton,2135,United States,42.35017203,-71.14779173,Private room,2,$150.00,20
29215155,https://www.airbnb.com/rooms/29215155,1 Bedroom Brownstone Back Bay Apartments,Back Bay,2115,United States,42.34915629,-71.08977849,Entire home/apt,6,$499.00,20
29535835,https://www.airbnb.com/rooms/29535835,"Quick Walk to Metro! Free Laundry, Cleaning, &WiFi",Jamaica Plain,2130,United States,42.32375688,-71.10940596,Private room,1,$35.00,20
30094413,https://www.airbnb.com/rooms/30094413,The best,Allston,2134,United States,42.35017905,-71.13364995,Private room,1,$60.00,20
30389802,https://www.airbnb.com/rooms/30389802,"Airy Chinatown 1BR w/ Office Nook, Gym + Pool by Blueground",Chinatown,2111,United States,42.35216477,-71.06209685,Entire home/apt,2,$198.00,20
30389976,https://www.airbnb.com/rooms/30389976,Smart + Snazzy Fort Point Studio near Seaport by Blueground,South Boston Waterfront,2110,United States,42.34777932,-71.04946193,Entire home/apt,2,$164.00,20
30507608,https://www.airbnb.com/rooms/30507608,Sharp 1BR in Fenway by Sonder,Fenway,2215,United States,42.34311529,-71.10174491,Entire home/apt,2,$196.00,20
31512667,https://www.airbnb.com/rooms/31512667,"See the train on back porch, place is beautiful.",Hyde Park,2136,United States,42.24920276,-71.12330964,Entire home/apt,7,$150.00,20
31951913,https://www.airbnb.com/rooms/31951913,Welcome to “Sleep E-Z”,East Boston,2128,United States,42.37891459,-71.03998546,Entire home/apt,4,$101.00,20
28967400,https://www.airbnb.com/rooms/28967400,Master Bedroom in Luxury Waterfront Apartments,Dorchester,2127,United States,42.32088218,-71.05253779,Private room,2,$55.00,30
6854357,https://www.airbnb.com/rooms/6854357,Cute bedroom in the Allston area,Allston,2134,United States,42.34901655,-71.1361512,Private room,2,$45.00,40
22240424,https://www.airbnb.com/rooms/22240424,Exclusive 3 Bedroom in The Heart of Boston!,Mission Hill,2115,United States,42.33072912,-71.11148101,Entire home/apt,7,$339.00,40
22652403,https://www.airbnb.com/rooms/22652403,The Copley Garrison One Bedroom Suite,Back Bay,2116,United States,42.34773686,-71.0791048,Entire home/apt,2,$185.00,40
23036258,https://www.airbnb.com/rooms/23036258,Boston Back Bay,Back Bay,2115,United States,42.34952826,-71.08629999,Entire home/apt,3,$250.00,40
24330706,https://www.airbnb.com/rooms/24330706,"Lux 2BR Apt w/pool, gym & views of Olmsted Park",Jamaica Plain,2130,United States,42.32992111,-71.11178792,Entire home/apt,5,$285.00,40
24961014,https://www.airbnb.com/rooms/24961014,Ultra Lux 2-BR in Boston + Great Amenities,West End,2114,United States,42.36286316,-71.06435692,Entire home/apt,5,$269.00,40
30085426,https://www.airbnb.com/rooms/30085426,Furnished Apartment Rental ( $99+tax/night),Back Bay,2116,United States,42.34575191,-71.07948129,Private room,2,$99.00,40
